Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
Germany,Hasbergen,36,Good,0,Good,34,Good,1,Good,36,Good
France,Haubourdin,48,Good,1,Good,28,Good,4,Good,48,Good
United States of America,Taunton,41,Good,1,Good,28,Good,10,Good,41,Good
New Zealand,Tauranga,19,Good,0,Good,19,Good,1,Good,17,Good
Tunisia,Tawzar,73,Moderate,1,Good,43,Good,0,Good,73,Moderate
Viet Nam,Tay Ninh,45,Good,0,Good,18,Good,1,Good,45,Good
Iran (Islamic Republic of),Taybad,170,Unhealthy,1,Good,43,Good,0,Good,170,Unhealthy
Italy,Teano,47,Good,1,Good,47,Good,1,Good,36,Good
India,Tekkali,155,Unhealthy,3,Good,82,Moderate,1,Good,155,Unhealthy
Brazil,Teodoro Sampaio,46,Good,1,Good,9,Good,1,Good,46,Good
Mexico,Tepeaca,172,Unhealthy,5,Good,2,Good,11,Good,172,Unhealthy
Mexico,Tequila,64,Moderate,1,Good,15,Good,2,Good,64,Moderate
Italy,Teramo,44,Good,1,Good,44,Good,1,Good,38,Good
Viet Nam,Thai Nguyen,150,Unhealthy,3,Good,150,Unhealthy,1,Good,105,Unhealthy for Sensitive Groups
China,Tianjin,142,Unhealthy for Sensitive Groups,4,Good,113,Unhealthy for Sensitive Groups,9,Good,142,Unhealthy for Sensitive Groups
Indonesia,Tidore,21,Good,0,Good,13,Good,0,Good,21,Good
Romania,Timisoara,47,Good,1,Good,42,Good,0,Good,47,Good
Tunisia,Tinjah,48,Good,1,Good,48,Good,1,Good,29,Good
Philippines,Toboso,54,Moderate,1,Good,20,Good,0,Good,54,Moderate
